,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
230,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
231,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
232,Running Jump Shot,Jump Shot,-25,76,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
233,Jump Shot,Jump Shot,-145,108,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
235,Jump Shot,Jump Shot,-105,148,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
236,Jump Shot,Jump Shot,-48,175,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
237,Jump Shot,Jump Shot,-77,247,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
238,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
239,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
240,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
241,Jump Shot,Jump Shot,142,226,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
242,Alley Oop Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
243,Jump Shot,Jump Shot,-63,171,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
244,Alley Oop Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
245,Jump Shot,Jump Shot,64,175,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
246,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
247,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
248,Jump Shot,Jump Shot,115,236,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
249,Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
250,Turnaround Jump Shot,Jump Shot,163,7,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
251,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
252,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
253,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
254,Jump Shot,Jump Shot,64,40,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
256,Jump Shot,Jump Shot,106,154,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
257,Reverse Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
258,Jump Shot,Jump Shot,64,95,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
259,Jump Shot,Jump Shot,106,154,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
260,Jump Shot,Jump Shot,-132,2,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
261,Jump Shot,Jump Shot,73,17,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
262,Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
263,Jump Shot,Jump Shot,115,137,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
264,Jump Shot,Jump Shot,-132,154,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
265,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
267,Jump Shot,Jump Shot,235,23,0.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
268,Jump Shot,Jump Shot,28,175,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
269,Jump Shot,Jump Shot,184,171,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
270,Running Jump Shot,Jump Shot,127,61,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
271,Turnaround Jump Shot,Jump Shot,28,89,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
272,Jump Shot,Jump Shot,-84,213,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
273,Running Jump Shot,Jump Shot,-119,144,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
274,Running Jump Shot,Jump Shot,0,110,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
275,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
276,Jump Shot,Jump Shot,127,80,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
277,Jump Shot,Jump Shot,-143,219,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
278,Alley Oop Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
279,Jump Shot,Jump Shot,77,141,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
280,Running Jump Shot,Jump Shot,-6,70,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
281,Jump Shot,Jump Shot,98,141,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
282,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
283,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
284,Jump Shot,Jump Shot,144,215,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
285,Jump Shot,Jump Shot,-63,177,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
286,Jump Shot,Jump Shot,100,259,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
287,Turnaround Jump Shot,Jump Shot,-48,78,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
288,Jump Shot,Jump Shot,153,198,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
289,Alley Oop Layup shot,Layup,-56,21,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
290,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
291,Jump Shot,Jump Shot,201,11,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
292,Jump Shot,Jump Shot,51,116,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
293,Jump Shot,Jump Shot,243,34,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
294,Jump Shot,Jump Shot,123,232,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
295,Jump Shot,Jump Shot,-157,137,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
296,Jump Shot,Jump Shot,138,110,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
297,Jump Shot,Jump Shot,102,137,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
298,Running Jump Shot,Jump Shot,-65,106,,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
299,Turnaround Jump Shot,Jump Shot,-115,106,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
300,Running Jump Shot,Jump Shot,-86,55,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
301,Jump Shot,Jump Shot,186,17,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
302,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
303,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
304,Jump Shot,Jump Shot,142,245,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
305,Jump Shot,Jump Shot,-33,70,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
306,Jump Shot,Jump Shot,-12,42,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
307,Jump Shot,Jump Shot,121,104,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
308,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
309,Jump Shot,Jump Shot,79,163,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
310,Jump Shot,Jump Shot,-94,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
311,Running Jump Shot,Jump Shot,-124,135,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
312,Running Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
313,Jump Shot,Jump Shot,108,409,0.0,Back Court(BC),Above the Break 3,Back Court(BC) Above the Break 3,0.0
314,Jump Shot,Jump Shot,-67,135,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
315,Jump Shot,Jump Shot,-160,224,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
316,Jump Shot,Jump Shot,-117,217,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
317,Jump Shot,Jump Shot,-134,9,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
318,Jump Shot,Jump Shot,-122,15,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
319,Jump Shot,Jump Shot,-101,116,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
320,Running Jump Shot,Jump Shot,-29,19,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
321,Jump Shot,Jump Shot,-50,245,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
322,Jump Shot,Jump Shot,-150,466,0.0,Back Court(BC),Backcourt,Back Court(BC) Backcourt,0.016666666666666666
323,Layup Shot,Layup,-29,13,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
324,Jump Shot,Jump Shot,-35,19,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
325,Jump Shot,Jump Shot,-35,19,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
326,Jump Shot,Jump Shot,167,184,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
327,Jump Shot,Jump Shot,129,19,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
328,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
329,Jump Shot,Jump Shot,167,207,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
330,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
331,Jump Shot,Jump Shot,60,177,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
332,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
333,Jump Shot,Jump Shot,-86,253,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
334,Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
335,Jump Shot,Jump Shot,172,68,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
336,Jump Shot,Jump Shot,-50,28,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
337,Jump Shot,Jump Shot,-86,165,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
338,Jump Shot,Jump Shot,-79,28,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
339,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
340,Jump Shot,Jump Shot,18,144,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
341,Jump Shot,Jump Shot,123,55,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
342,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
344,Running Jump Shot,Jump Shot,159,116,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
345,Running Jump Shot,Jump Shot,-16,55,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
346,Jump Shot,Jump Shot,32,148,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
347,Jump Shot,Jump Shot,26,68,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
348,Jump Shot,Jump Shot,5,198,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
349,Jump Shot,Jump Shot,-149,247,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
350,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
351,Jump Shot,Jump Shot,-79,133,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
352,Jump Shot,Jump Shot,-23,40,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
353,Jump Shot,Jump Shot,66,154,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
354,Jump Shot,Jump Shot,-86,257,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
355,Jump Shot,Jump Shot,75,198,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
356,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
357,Jump Shot,Jump Shot,-58,68,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
358,Jump Shot,Jump Shot,60,61,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
359,Jump Shot,Jump Shot,117,253,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
360,Jump Shot,Jump Shot,-50,17,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
361,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
362,Jump Shot,Jump Shot,18,209,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
363,Jump Shot,Jump Shot,-136,160,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
364,Jump Shot,Jump Shot,-16,181,,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
365,Jump Shot,Jump Shot,60,127,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
366,Running Jump Shot,Jump Shot,87,133,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
367,Running Jump Shot,Jump Shot,39,82,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
368,Jump Shot,Jump Shot,-149,2,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
369,Jump Shot,Jump Shot,110,243,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
370,Jump Shot,Jump Shot,110,13,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
371,Jump Shot,Jump Shot,11,82,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
372,Jump Shot,Jump Shot,-16,55,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
373,Jump Shot,Jump Shot,237,2,0.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
374,Jump Shot,Jump Shot,11,198,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
375,Jump Shot,Jump Shot,-185,127,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
376,Driving Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
377,Jump Shot,Jump Shot,11,89,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
378,Jump Shot,Jump Shot,18,160,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
379,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
380,Jump Shot,Jump Shot,-98,285,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
381,Jump Shot,Jump Shot,-157,45,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
382,Jump Shot,Jump Shot,-92,186,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
383,Jump Shot,Jump Shot,-149,28,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
384,Running Jump Shot,Jump Shot,75,28,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
385,Jump Shot,Jump Shot,138,13,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
386,Tip Shot,Tip Shot,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
387,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
388,Running Jump Shot,Jump Shot,-115,110,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
389,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
390,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
391,Running Jump Shot,Jump Shot,-73,11,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
392,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
393,Running Jump Shot,Jump Shot,-65,165,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
394,Running Jump Shot,Jump Shot,81,133,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
395,Jump Shot,Jump Shot,138,110,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
396,Jump Shot,Jump Shot,117,247,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
397,Jump Shot,Jump Shot,231,394,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
398,Jump Shot,Jump Shot,5,205,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
399,Jump Shot,Jump Shot,-44,148,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
400,Driving Layup Shot,Layup,18,23,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
401,Jump Shot,Jump Shot,123,89,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
402,Jump Shot,Jump Shot,-92,127,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
403,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
404,Jump Shot,Jump Shot,32,257,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
405,Jump Shot,Jump Shot,33,78,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
406,Jump Shot,Jump Shot,-212,64,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
407,Jump Shot,Jump Shot,123,148,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
408,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
409,Jump Shot,Jump Shot,-122,137,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
412,Jump Shot,Jump Shot,237,40,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
413,Jump Shot,Jump Shot,-1,160,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
415,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
416,Jump Shot,Jump Shot,39,192,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
417,Jump Shot,Jump Shot,153,181,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
